from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,4,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,1,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,invert,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,repeat,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,append,4
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,delete,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append('1' repeat('0')))),-18.623804,10,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '1'))),-21.239739,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '1'))),-21.239739,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '1'))),-21.239739,12,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append('1' append(append('1' '1') append(append('1' repeat('0')) '1'))),-21.239739,12,INT,3,0
