from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,1,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,from_seq,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,invert,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,repeat,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,append,3
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append('1' from_seq))),-27.090125,12,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append(from_seq from_seq))),-27.090125,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) invert(append(from_seq from_seq))),-27.090125,12,INT,1,0
